Position,Track Name,Artist,Streams,URL,Date,code,name
1,Reggaetón Lento (Bailemos),CNCO,6784,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,bo,Bolivia
2,Otra vez (feat. J Balvin),Zion & Lennox,5748,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,bo,Bolivia
3,Chantaje (feat. Maluma),Shakira,5506,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,bo,Bolivia
4,Vente Pa' Ca (feat. Maluma),Ricky Martin,4804,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,bo,Bolivia
5,Traicionera,Sebastian Yatra,4780,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2017-01-01,bo,Bolivia
6,Safari,J Balvin,4399,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,bo,Bolivia
7,Let Me Love You,DJ Snake,3542,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,bo,Bolivia
8,La Bicicleta,Carlos Vives,3507,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2017-01-01,bo,Bolivia
9,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,3446,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-01,bo,Bolivia
10,Me llamas (feat. Maluma) - Remix,Piso 21,2979,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,2017-01-01,bo,Bolivia
11,Closer,The Chainsmokers,2898,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,bo,Bolivia
12,Shaky Shaky,Daddy Yankee,2882,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,2017-01-01,bo,Bolivia
13,Vacaciones,Wisin,2747,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-01,bo,Bolivia
14,Andas En Mi Cabeza,Chino & Nacho,2735,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,2017-01-01,bo,Bolivia
15,Don't Wanna Know,Maroon 5,2566,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,bo,Bolivia
16,Dile Que Tu Me Quieres,Ozuna,2504,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,2017-01-01,bo,Bolivia
17,Starboy,The Weeknd,2480,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,bo,Bolivia
18,One Dance,Drake,2449,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,bo,Bolivia
19,Me Llamas,Piso 21,2221,https://open.spotify.com/track/3jpqMaJREkmVDYlRvW1qWC,2017-01-01,bo,Bolivia
20,Borro Cassette,Maluma,2216,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,2017-01-01,bo,Bolivia
